,date_nk,dau_pk,dau_in,exdau,dau,dau_india
0,2019-04-01,298647,2764788,,,2764788.0
1,2019-04-02,303980,2779618,,,2779618.0
2,2019-04-03,299901,2744147,,,2744147.0
3,2019-04-04,300433,2768987,,,2768987.0
4,2019-04-05,297697,2753217,,,2753217.0
5,2019-04-06,295814,2734087,,,2734087.0
6,2019-04-07,302802,2764206,,,2764206.0
7,2019-04-08,299171,2755393,,,2755393.0
8,2019-04-09,304896,2769190,,,2769190.0
9,2019-04-10,297132,2695569,,,2695569.0
10,2019-04-11,300159,2750099,,,2750099.0
11,2019-04-12,299112,2689083,,,2689083.0
12,2019-04-13,299720,2683516,,,2683516.0
13,2019-04-14,315363,2758316,,,2758316.0
14,2019-04-15,313677,2724502,,,2724502.0
15,2019-04-16,307502,2858900,,,2858900.0
16,2019-04-17,316571,2848153,,,2848153.0
17,2019-04-18,298051,2692884,,,2692884.0
18,2019-04-19,299793,2704246,,,2704246.0
19,2019-04-20,296226,2673750,,,2673750.0
20,2019-04-21,306875,2732568,,,2732568.0
21,2019-04-22,317588,2752413,,,2752413.0
22,2019-04-23,307460,2763708,,,2763708.0
23,2019-04-24,299733,2767161,,,2767161.0
24,2019-04-25,299137,2777797,,,2777797.0
25,2019-04-26,311680,2747674,,,2747674.0
26,2019-04-27,307104,2745163,,,2745163.0
27,2019-04-28,303324,2762316,,,2762316.0
28,2019-04-29,293242,2813405,,,2813405.0
29,2019-04-30,290017,2849747,,,2849747.0
30,2019-05-01,300213,2848849,,,2848849.0
31,2019-05-02,286124,2822873,,,2822873.0
32,2019-05-03,283854,2802187,,,2802187.0
33,2019-05-04,284068,2789575,,,2789575.0
34,2019-05-05,288016,2797736,,,2797736.0
35,2019-05-06,283219,2791296,,,2791296.0
36,2019-05-07,288895,2772630,,,2772630.0
37,2019-05-08,287731,2796075,,,2796075.0
38,2019-05-09,280832,2831299,,,2831299.0
39,2019-05-10,285023,2797000,,,2797000.0
40,2019-05-11,295895,2841380,,,2841380.0
41,2019-05-12,301876,2759167,,,2759167.0
42,2019-05-13,298555,2840296,,,2840296.0
43,2019-05-14,297048,2871645,,,2871645.0
44,2019-05-15,298889,2866864,,,2866864.0
45,2019-05-16,314306,2879829,,,2879829.0
46,2019-05-17,333198,2858847,,,2858847.0
47,2019-05-18,309938,2861525,,,2861525.0
48,2019-05-19,304639,2864094,,,2864094.0
49,2019-05-20,310012,2900243,,,2900243.0
50,2019-05-21,299226,2954613,,,2954613.0
51,2019-05-22,298042,2895561,,,2895561.0
52,2019-05-23,294109,2627393,,,2627393.0
