,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-04-01,2730015.118828915,2692050.19191012,2813449.2376968632,2730015.118828915,2730015.118828915,19951.252834236242,19951.252834236242,19951.252834236242,19951.252834236242,19951.252834236242,19951.252834236242,0.0,0.0,0.0,2749966.3716631513
1,2019-04-02,2731585.4447373888,2700273.6014319914,2811985.017476766,2731585.4447373888,2731585.4447373888,27454.78172038765,27454.78172038765,27454.78172038765,27454.78172038765,27454.78172038765,27454.78172038765,0.0,0.0,0.0,2759040.2264577765
2,2019-04-03,2733155.7706458624,2682301.4526900835,2794530.1223609177,2733155.7706458624,2733155.7706458624,8846.171934925394,8846.171934925394,8846.171934925394,8846.171934925394,8846.171934925394,8846.171934925394,0.0,0.0,0.0,2742001.942580788
3,2019-04-04,2734726.0965543357,2661305.3144546393,2774994.91741504,2734726.0965543357,2734726.0965543357,-18532.547824242247,-18532.547824242247,-18532.547824242247,-18532.547824242247,-18532.547824242247,-18532.547824242247,0.0,0.0,0.0,2716193.5487300935
4,2019-04-05,2736296.4226506734,2666121.6488680113,2778331.4219103917,2736296.4226506734,2736296.4226506734,-15852.147276091733,-15852.147276091733,-15852.147276091733,-15852.147276091733,-15852.147276091733,-15852.147276091733,0.0,0.0,0.0,2720444.2753745816
5,2019-04-06,2737866.748747011,2665371.2376502417,2776200.096595085,2737866.748747011,2737866.748747011,-17396.60405906658,-17396.60405906658,-17396.60405906658,-17396.60405906658,-17396.60405906658,-17396.60405906658,0.0,0.0,0.0,2720470.1446879446
6,2019-04-07,2739437.074843349,2676707.379399604,2792079.1318835705,2739437.074843349,2739437.074843349,-4470.907330223888,-4470.907330223888,-4470.907330223888,-4470.907330223888,-4470.907330223888,-4470.907330223888,0.0,0.0,0.0,2734966.167513125
7,2019-04-08,2741007.401219894,2702971.1731355493,2818111.1092612487,2741007.401219894,2741007.401219894,19951.25283423891,19951.25283423891,19951.25283423891,19951.25283423891,19951.25283423891,19951.25283423891,0.0,0.0,0.0,2760958.654054133
8,2019-04-09,2742577.727596439,2710052.3793552783,2832811.9671823783,2742577.727596439,2742577.727596439,27454.78172037768,27454.78172037768,27454.78172037768,27454.78172037768,27454.78172037768,27454.78172037768,0.0,0.0,0.0,2770032.5093168165
9,2019-04-10,2744148.053972984,2695315.430253957,2811492.7233212804,2744148.0539729847,2744148.0539729847,8846.171934905879,8846.171934905879,8846.171934905879,8846.171934905879,8846.171934905879,8846.171934905879,0.0,0.0,0.0,2752994.22590789
10,2019-04-11,2745718.380442173,2667914.9487031437,2785376.340543459,2745718.380442173,2745718.380442173,-18532.547824250938,-18532.547824250938,-18532.547824250938,-18532.547824250938,-18532.547824250938,-18532.547824250938,0.0,0.0,0.0,2727185.832617922
11,2019-04-12,2747288.7069113627,2671695.2783312825,2788800.3644116824,2747288.7069113627,2747288.7069113627,-15852.147276089332,-15852.147276089332,-15852.147276089332,-15852.147276089332,-15852.147276089332,-15852.147276089332,0.0,0.0,0.0,2731436.559635273
12,2019-04-13,2748859.033380552,2675562.401214307,2792359.0859915186,2748859.033380552,2748859.033380552,-17396.604059046018,-17396.604059046018,-17396.604059046018,-17396.604059046018,-17396.604059046018,-17396.604059046018,0.0,0.0,0.0,2731462.429321506
13,2019-04-14,2750429.3598497417,2687268.3333780034,2803397.1612358596,2750429.3598497417,2750429.3598497417,-4470.907330195081,-4470.907330195081,-4470.907330195081,-4470.907330195081,-4470.907330195081,-4470.907330195081,0.0,0.0,0.0,2745958.4525195467
