,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2019-04-02,2530263.7251310297,2505020.751917395,2607166.663577291,2530263.7251310297,2530263.7251310297,26889.635251283333,26889.635251283333,26889.635251283333,26889.635251283333,26889.635251283333,26889.635251283333,0.0,0.0,0.0,2557153.360382313
1,2019-04-03,2532510.0901939743,2490763.598318213,2593729.1735392814,2532510.0901939743,2532510.0901939743,11016.565654337795,11016.565654337795,11016.565654337795,11016.565654337795,11016.565654337795,11016.565654337795,0.0,0.0,0.0,2543526.655848312
2,2019-04-04,2534756.455256919,2469376.487264081,2575114.3767955415,2534756.455256919,2534756.455256919,-13349.573693044062,-13349.573693044062,-13349.573693044062,-13349.573693044062,-13349.573693044062,-13349.573693044062,0.0,0.0,0.0,2521406.881563875
3,2019-04-05,2537002.8203198635,2474841.3599009993,2578456.85014105,2537002.8203198635,2537002.8203198635,-11435.267965381268,-11435.267965381268,-11435.267965381268,-11435.267965381268,-11435.267965381268,-11435.267965381268,0.0,0.0,0.0,2525567.552354482
4,2019-04-06,2539249.1853843494,2474037.001444869,2569134.850059518,2539249.1853843494,2539249.1853843494,-15968.114881400686,-15968.114881400686,-15968.114881400686,-15968.114881400686,-15968.114881400686,-15968.114881400686,0.0,0.0,0.0,2523281.070502949
5,2019-04-07,2541495.5504488354,2481012.5982920867,2581560.0591305112,2541495.5504488354,2541495.5504488354,-9766.977837683778,-9766.977837683778,-9766.977837683778,-9766.977837683778,-9766.977837683778,-9766.977837683778,0.0,0.0,0.0,2531728.5726111517
6,2019-04-08,2543741.9155133218,2503766.4174202,2605598.8206063705,2543741.9155133218,2543741.9155133218,12613.733471827929,12613.733471827929,12613.733471827929,12613.733471827929,12613.733471827929,12613.733471827929,0.0,0.0,0.0,2556355.64898515
7,2019-04-09,2545988.280625456,2524549.377363698,2625010.3333266303,2545988.280625456,2545988.280625456,26889.635251278378,26889.635251278378,26889.635251278378,26889.635251278378,26889.635251278378,26889.635251278378,0.0,0.0,0.0,2572877.9158767345
8,2019-04-10,2548234.6457375903,2509097.9405472153,2610929.148166514,2548234.6457375903,2548234.6457375903,11016.565654320111,11016.565654320111,11016.565654320111,11016.565654320111,11016.565654320111,11016.565654320111,0.0,0.0,0.0,2559251.2113919104
9,2019-04-11,2550481.0108497245,2485503.786848765,2586897.0019012936,2550481.0108497245,2550481.0108497245,-13349.573693052651,-13349.573693052651,-13349.573693052651,-13349.573693052651,-13349.573693052651,-13349.573693052651,0.0,0.0,0.0,2537131.4371566717
10,2019-04-12,2552727.379126186,2487285.3494709968,2593209.9486815557,2552727.379126186,2552727.379126186,-11435.267965381585,-11435.267965381585,-11435.267965381585,-11435.267965381585,-11435.267965381585,-11435.267965381585,0.0,0.0,0.0,2541292.1111608045
11,2019-04-13,2554973.7474026475,2487202.556681556,2588981.5938274194,2554973.7474026475,2554973.7474026475,-15968.11488139222,-15968.11488139222,-15968.11488139222,-15968.11488139222,-15968.11488139222,-15968.11488139222,0.0,0.0,0.0,2539005.6325212554
12,2019-04-14,2557220.1156791085,2497414.5306501584,2597249.640597589,2557220.1156791085,2557220.1156791085,-9766.977837663519,-9766.977837663519,-9766.977837663519,-9766.977837663519,-9766.977837663519,-9766.977837663519,0.0,0.0,0.0,2547453.137841445
13,2019-04-15,2559466.4839555705,2522193.9098540554,2623027.3975280765,2559466.4839555705,2559466.4839555705,12613.733471865795,12613.733471865795,12613.733471865795,12613.733471865795,12613.733471865795,12613.733471865795,0.0,0.0,0.0,2572080.2174274363
14,2019-04-16,2561714.5896166777,2540189.1684992895,2642380.9587913193,2561714.5896166777,2561714.5896166777,26889.635251273427,26889.635251273427,26889.635251273427,26889.635251273427,26889.635251273427,26889.635251273427,0.0,0.0,0.0,2588604.224867951
15,2019-04-17,2563962.695277785,2523677.902408223,2624677.733422773,2563962.695277785,2563962.695277785,11016.565654347478,11016.565654347478,11016.565654347478,11016.565654347478,11016.565654347478,11016.565654347478,0.0,0.0,0.0,2574979.2609321326
16,2019-04-18,2566210.800938892,2502299.459740273,2603091.450252788,2566210.800938892,2566210.800938892,-13349.573693019001,-13349.573693019001,-13349.573693019001,-13349.573693019001,-13349.573693019001,-13349.573693019001,0.0,0.0,0.0,2552861.2272458733
17,2019-04-19,2568557.6494734287,2509627.731256061,2608786.916381934,2568557.6494734287,2568557.6494734287,-11435.267965378393,-11435.267965378393,-11435.267965378393,-11435.267965378393,-11435.267965378393,-11435.267965378393,0.0,0.0,0.0,2557122.3815080505
18,2019-04-20,2570904.4980079643,2505388.3387548863,2606390.6684416183,2570904.4980079643,2570904.4980079643,-15968.114881400805,-15968.114881400805,-15968.114881400805,-15968.114881400805,-15968.114881400805,-15968.114881400805,0.0,0.0,0.0,2554936.3831265634
19,2019-04-21,2573251.346542501,2513017.0880986485,2614149.55351217,2573251.346542501,2573251.346542501,-9766.977837656137,-9766.977837656137,-9766.977837656137,-9766.977837656137,-9766.977837656137,-9766.977837656137,0.0,0.0,0.0,2563484.3687048447
20,2019-04-22,2575943.2875338728,2540294.242885408,2642820.0310158096,2575943.2875338728,2575943.2875338728,12613.733471819647,12613.733471819647,12613.733471819647,12613.733471819647,12613.733471819647,12613.733471819647,0.0,0.0,0.0,2588557.0210056924
21,2019-04-23,2578635.2285252446,2556716.2954069297,2655915.834290573,2578635.2285252446,2578635.2285252446,26889.63525128717,26889.63525128717,26889.63525128717,26889.63525128717,26889.63525128717,26889.63525128717,0.0,0.0,0.0,2605524.863776532
22,2019-04-24,2581327.1695166165,2541785.188688217,2640073.468273121,2581327.1695166165,2581327.1695166165,11016.565654339567,11016.565654339567,11016.565654339567,11016.565654339567,11016.565654339567,11016.565654339567,0.0,0.0,0.0,2592343.7351709562
